"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000188976"	3652.09114860724	0.691711061325472	0.0824036888469417	8.39315770326099	4.73256112087313e-17	4.33418320186265e-15
"ENSG00000188157"	1316.49093543871	-0.288463555994717	0.111511690458819	-2.58690708361083	0.00968417024610921	0.0384323164911837
"ENSG00000186891"	247.459803341278	0.521568455933508	0.208171648832527	2.50056458094231	0.0123995523251499	0.0466763553320888
"ENSG00000176022"	1717.25697713399	0.401991389345541	0.100588492892936	3.99653516807433	6.42763366210944e-05	0.000575260305863891
"ENSG00000160087"	2852.09534457108	0.391439905827461	0.0879936193697897	4.44830978584395	8.65486453462081e-06	9.80713505867922e-05
"ENSG00000162572"	119.806373487382	1.17177765119633	0.300752098916367	3.9102197268706	9.22122006343485e-05	0.000773506483489256
"ENSG00000131584"	1218.24964181113	-0.511403211157621	0.129380964996583	-3.95288331614915	7.72150955892035e-05	0.000670914220390856
"ENSG00000107404"	2159.82604960449	-0.346448869268737	0.102688212987109	-3.37368538568028	0.000741690849623297	0.00460192498854436
"ENSG00000242485"	2102.69151699633	0.306073066524069	0.108205521111052	2.82809298903075	0.00468262027007102	0.0213253799833514
"ENSG00000160072"	1140.26560146119	0.416509099284598	0.111236553486557	3.7426795204404	0.000182068372915006	0.00137228647928215
"ENSG00000197785"	1796.61626774167	-0.209762753235679	0.0914946912374863	-2.29244970102956	0.0218797068585096	0.0737468012112762
"ENSG00000189339"	1506.52815131922	-0.493582484319412	0.106926094752138	-4.6178903877312	3.87660918444046e-06	4.81282650001424e-05
"ENSG00000078369"	11794.9064144766	-0.221047463376712	0.0734020003027052	-3.01144997267588	0.00260003242099793	0.0132035827957324
"ENSG00000178821"	136.541258022663	0.711981521261261	0.26718088419105	2.6550070588197	0.00793067489741965	0.0329422348721336
"ENSG00000067606"	407.815004079007	-0.408506318380177	0.172321592248225	-2.3707670684551	0.0177512142450197	0.0622285526697738
"ENSG00000162585"	1009.46221395519	0.285157060240713	0.126737033799187	2.25029774384964	0.0244300510676776	0.0801205119852259
"ENSG00000157916"	7321.83250835861	0.342597677786469	0.0698515768340277	4.90457804364557	9.36283902850733e-07	1.3667087407224e-05
"ENSG00000157911"	923.010804241903	-0.322381903866558	0.106812846440229	-3.01813222001379	0.00254337909724787	0.0130047884930406
"ENSG00000157881"	1229.89085751607	-0.410413474475568	0.112737571325871	-3.64062323888411	0.000271978885261128	0.00195412663881061
"ENSG00000157870"	1632.98019316692	-0.455821202715813	0.105293633621346	-4.32872465551904	1.49975296651646e-05	0.00016029733745237
"ENSG00000162591"	408.627533977206	-1.52188650463099	0.204931828703785	-7.43584110091811	1.03904678469056e-13	5.91195513110532e-12
"ENSG00000116213"	1898.03645875745	0.907011611735739	0.0963276119084282	9.41496590407092	4.73235965605104e-21	7.4442801130657e-19
"ENSG00000130764"	1929.32305071192	0.293275392704666	0.0944013838526631	3.10652224006804	0.00189302068348168	0.0101530603926328
"ENSG00000116198"	2656.05698030554	-0.184981222407351	0.0809698542721501	-2.28455258507401	0.0223390758636472	0.0749174274825248
"ENSG00000131697"	372.579427372754	-0.385926160308475	0.174556457585012	-2.21076254097957	0.02705228508926	0.0867840940327484
"ENSG00000158292"	5613.17238714185	-1.21994272315583	0.107616990006122	-11.3440173714146	7.94132821241815e-30	3.3182343602576e-27
"ENSG00000097021"	2994.70132036851	-0.229198015448451	0.0809191549044891	-2.83234786967573	0.0046207548064292	0.0210939271139518
"ENSG00000069812"	616.440481636173	-0.752494077279731	0.179460350944034	-4.20703997026062	2.58737392203436e-05	0.000258370251766404
"ENSG00000049245"	1966.28239103387	-0.447975362122305	0.102500797463455	-4.37048956537492	1.23968278889626e-05	0.000134872242232155
"ENSG00000049246"	221.717209511012	-1.20040202339264	0.202521736038339	-5.92080396112204	3.20371570775003e-09	8.04086863232862e-08
"ENSG00000049249"	92.5307077137758	0.986858655750778	0.311352500056148	3.1811935832141	0.0014666958742744	0.00816792608701501
"ENSG00000162444"	42.5470582355068	1.39949935724381	0.41882250193799	3.27028819595728	0.00107437965337254	0.00629239174123707
"ENSG00000171824"	2401.39924203935	-0.251422981377737	0.0951081378720955	-2.64347819579288	0.00820590506680772	0.033749971285231
"ENSG00000120942"	1016.39476649825	0.437125355948171	0.110321106489492	3.96158111425056	7.44550791535844e-05	0.000650608636633393
"ENSG00000116685"	1986.5705250686	0.238824520397059	0.0949759779145261	2.51458059512166	0.0119174060165736	0.0452435081906886
"ENSG00000162496"	386.449703040641	1.65319309352864	0.246776624600654	6.71391489754357	1.89470840019365e-11	7.65382054954358e-10
"ENSG00000162493"	148.640791805648	1.08696150809647	0.460194237171216	2.34515790126693	0.0190190230851116	0.0658134983620671
"ENSG00000171729"	206.629602430859	0.537850298770283	0.232890124395274	2.31094803056674	0.0208357256170498	0.0708384982774876
"ENSG00000142634"	2411.80725980623	0.301075077565767	0.130895098096904	2.29923968236943	0.0214913328169586	0.0726208266604886
"ENSG00000162458"	1005.76093782008	-0.512060023305195	0.11856714957468	-4.31946166542887	1.56410274252658e-05	0.000165817530179939
"ENSG00000142627"	4544.08383358314	0.686919582271933	0.1214048374314	5.65796617850059	1.53177310689755e-08	3.2981220953828e-07
"ENSG00000142632"	219.338712077352	0.72512968378836	0.209510962376293	3.46108573378771	0.000538001446036423	0.00352801242518539
"ENSG00000037637"	913.253143068643	0.782273356095879	0.111685032272024	7.00384715549014	2.49027783527052e-12	1.16424842431476e-10
"ENSG00000055070"	1291.41727058472	0.816592317666402	0.120569192587228	6.7729274083833	1.26202283840836e-11	5.2405302398628e-10
"ENSG00000157191"	1306.10634371802	0.996411466732067	0.129873384976609	7.67324461597314	1.67699239332941e-14	1.09293697672906e-12
"ENSG00000117118"	4759.04977244796	0.37936695184178	0.0960840469187046	3.94795153949289	7.88227546170825e-05	0.000684376007782474
"ENSG00000117115"	54.440815323508	1.26746352884577	0.444116655041333	2.92310217499051	0.00346562772216455	0.0166987056839864
"ENSG00000179051"	854.609438928258	0.641198339319054	0.129792221470206	4.93944986991064	7.8343280498316e-07	1.16781271297991e-05
"ENSG00000159423"	248.134309167956	-0.648799230949212	0.196982869487369	-3.29431722220444	0.000986610858178354	0.00585009923933604
"ENSG00000053372"	1667.08739208205	0.237930625290142	0.0912373082851386	2.60685641516414	0.00913776692059402	0.036768306197792
"ENSG00000158747"	330.494487955582	-0.478910289238966	0.156090513105525	-3.06722381945729	0.00216057013522	0.0113601979072067
"ENSG00000169914"	578.448212662519	-0.474902682513717	0.156593865149532	-3.03192145184897	0.00243002428768053	0.0125499632099561
"ENSG00000090432"	2567.66892561198	0.215491415603859	0.100594956478754	2.14236204199481	0.0321643598799228	0.0990259396625485
"ENSG00000158828"	9396.9960493057	-0.236933456387475	0.0863706903970451	-2.74323357514338	0.00608373941402342	0.0264109349691257
"ENSG00000244038"	12383.9286498833	0.342965934180077	0.0700313812604821	4.89730963636107	9.71576802517494e-07	1.41359667317317e-05
"ENSG00000117245"	41.3677380764316	-1.41541751436545	0.399231139401281	-3.48540424477745	0.000491394062596949	0.00325752603420119
"ENSG00000189410"	290.07158093049	-0.838007377222322	0.170433374168161	-4.91004931868722	9.10534900095781e-07	1.33203086971342e-05
"ENSG00000127483"	5318.4146752046	-0.394153635328831	0.095109880550245	-4.14410419901809	3.41144611626948e-05	0.00033150033445232
"ENSG00000142794"	1180.40620419303	-0.531617789170535	0.106562561466045	-4.98874657714721	6.07723068601233e-07	9.36024891336481e-06
"ENSG00000133216"	661.37163842915	0.565525279998425	0.168259058190626	3.35977988132493	0.000780045954660696	0.00480866503447126
"ENSG00000179546"	24.8644750077426	1.19193211758172	0.470755605781013	2.55552692328267	0.0106027158418958	0.0413440984316096
