"baseMean"	"log2FoldChange"	"stat"	"pvalue"	"padj"
"ENSG00000273547"	0.216672954903261	-0.0201838052169238	-0.0203404076740305	0.983771821784107	NA
"ENSG00000187634"	10.0038210657635	-0.445662073951171	-0.309188032933173	0.757178496561302	NA
"ENSG00000188976"	3652.09114860724	0.90447511613347	-0.51809882383399	0.6043893208299	0.960447488754651
"ENSG00000187961"	352.305055413382	0.110926686044897	3.02360469507988	0.00249782584862787	0.162253359398636
"ENSG00000187583"	131.237924073363	-0.401655710536821	-1.5066593844029	0.131897987316602	0.737261347944801
"ENSG00000187642"	13.9269003474378	-0.960643856490082	-0.422481561687918	0.672673556242264	NA
"ENSG00000188290"	223.361254956483	0.143847442915459	0.489661553849457	0.624373411559508	0.960447488754651
"ENSG00000187608"	2328.17261044288	-1.66853690786783	3.27721742414631	0.00104835607283409	0.101213162638884
"ENSG00000188157"	1316.49093543871	-0.517907651848118	0.944137278135157	0.345099501847033	0.881332289435988
"ENSG00000237330"	3.27799575806745	0.682122058369994	0.0290947484445823	0.976789024160628	NA
"ENSG00000131591"	944.078271388736	0.54770391840426	1.03965455187244	0.29850042262274	0.858148672704284
"ENSG00000162571"	0.903277704275169	0.0140322251284734	0.600161954503055	0.548398306294656	NA
"ENSG00000186891"	247.459803341278	0.966200577675554	0.459052729864326	0.646196300668112	0.961849358441937
"ENSG00000186827"	1.50335146067097	0.0532570448499436	-1.60991006216296	0.107417492004897	NA
"ENSG00000078808"	4644.55647419707	-0.283413214097885	0.75116223491968	0.452555025024128	0.921779607503706
"ENSG00000176022"	1717.25697713399	-0.0409465075434318	0.674215882703362	0.500174073421234	0.934218233603312
"ENSG00000184163"	3.85689932163334	-0.0494444166810289	0.506258050156716	0.612675508015805	NA
"ENSG00000160087"	2852.09534457108	0.259239522180862	1.66674330125649	0.095565458739838	0.6873314522194
"ENSG00000162572"	119.806373487382	-0.765202238545138	-0.89724818400593	0.36958649906817	0.892055667369219
"ENSG00000131584"	1218.24964181113	-0.406549081081633	3.02305647150797	0.00250235542320626	0.162253359398636
"ENSG00000169972"	563.784913281283	0.478671372875677	1.17194153274828	0.241220530722003	0.822446495809333
"ENSG00000127054"	2074.14994046547	0.652674974198988	0.135950419621783	0.891860476356074	0.991486582066038
"ENSG00000224051"	2204.71037490441	-0.309401262951355	1.42213640068747	0.154986657383516	0.755787849632061
"ENSG00000169962"	67.2540696728199	-2.40721807577983	0.53572630845334	0.592147718487612	NA
"ENSG00000107404"	2159.82604960449	0.117008133610002	0.587591910739849	0.556806241980176	0.947999668482388
"ENSG00000162576"	200.127695196685	-0.492999890386158	-0.590841470603122	0.554626645483666	0.946693234582174
"ENSG00000175756"	4358.29303857834	0.582623311152603	1.3615061375004	0.1733537952985	0.77204505874975
"ENSG00000221978"	6140.25891357871	-0.972635127220271	1.66945889296193	0.0950264705238165	0.685928722145546
"ENSG00000242485"	2102.69151699633	0.837560813911992	1.03629614454931	0.300064004278171	0.860366635839345
"ENSG00000235098"	1.64978380943325	-0.0797103379432733	-0.815254522680304	0.414926634462715	NA
"ENSG00000179403"	118.927326768488	0.318402073978506	0.790494014900212	0.42923931619402	0.916506599348671
"ENSG00000215915"	2.43839681601044	-0.0623787599122801	-0.323039064864943	0.746665657246476	NA
"ENSG00000160072"	1140.26560146119	1.32463814048608	2.34446494042935	0.0190544018551514	0.417075399311239
"ENSG00000197785"	1796.61626774167	0.952173072101115	1.04394510909871	0.296510786272439	0.857830669703624
"ENSG00000205090"	1.82469624743187	-0.193622974267598	0.102165877249575	0.91862501200457	NA
"ENSG00000160075"	6914.23094030462	0.247598630522206	0.93566810110646	0.349444099293153	0.883621669713149
"ENSG00000228594"	57.4513197711947	-0.589536582060743	0.242550388624691	0.808353717710339	NA
"ENSG00000197530"	1618.72175684788	-0.67274286906509	1.26940690020461	0.204295976425172	0.790538372541261
"ENSG00000189409"	11.7857152327027	-0.382120619519734	0.477181808563092	0.63323266382481	NA
"ENSG00000248333"	371.896144783026	0.259272688383106	1.48371213715817	0.137885304981228	0.744121743865384
"ENSG00000189339"	1506.52815131922	-1.38841805796726	0.218895965399022	0.826731089405409	0.984848999987614
"ENSG00000008128"	16.6029760751892	0.174036123522381	-0.502296281497542	0.615459124529176	NA
"ENSG00000215790"	58.61490486069	-1.47424937401804	0.797815479717969	0.424977576904775	NA
"ENSG00000008130"	1581.7488640182	0.431625920839596	2.11637064378684	0.0343132967834051	0.517494529771054
"ENSG00000078369"	11794.9064144766	0.234655359888701	-0.0646360939504677	0.9484637459676	0.997830869574665
"ENSG00000169885"	1.61601542909561	0.368437945239377	0.75778492898569	0.448579746109029	NA
"ENSG00000178821"	136.541258022663	0.916060817344733	-1.58674589288894	0.112570207720141	0.709540862722791
"ENSG00000142609"	9.6162170788355	0.291062480448267	0.0270575800606789	0.978413808569624	NA
"ENSG00000187730"	1.37659101833173	0.0520386580786102	1.5155445362135	0.129634560739801	NA
"ENSG00000067606"	407.815004079007	-0.232118391219709	-0.163745901173484	0.869931181290173	0.990691166699418
"ENSG00000162585"	1009.46221395519	-0.236955490114707	0.0290148907876913	0.976852714463311	0.998256801617811
"ENSG00000157933"	144.863019013611	-0.405898793144649	0.2573970069706	0.796872313163038	0.983770970396096
"ENSG00000116151"	282.673827936029	-0.792801486351463	-0.440940470259816	0.659256094161381	0.964417054618348
"ENSG00000157916"	7321.83250835861	0.118267943940512	-0.74447069345317	0.456591764695329	0.921779607503706
"ENSG00000157911"	923.010804241903	-0.0793007060483113	0.60646940795147	0.544203090797473	0.945733618497273
