"baseMean"	"log2FoldChange"	"stat"	"pvalue"	"padj"
"ENSG00000069812"	616.440481636173	-2.81125958809452	-4.20704667394728	2.58729720030448e-05	0.000258362590479994
"ENSG00000187017"	30.0404860358661	-0.649833911996469	0.841181428596893	0.400246302865037	0.587986288818134
"ENSG00000215788"	551.675858239801	-1.33044649261771	-1.20355384642706	0.228762067367816	0.407456720763963
"ENSG00000171680"	911.357703239349	-1.97791328399329	-2.12715010674055	0.0334076131260242	0.10186845954574
"ENSG00000162408"	2126.45973313639	1.01592524927372	-0.755897439286009	0.449710689382669	0.630698723278337
"ENSG00000173662"	7.96043831698087	-0.0509761641521965	0.353760978095912	0.723518019745927	NA
"ENSG00000204859"	412.798093930391	-0.279045710766174	0.543410031579673	0.586847520318408	0.741938180236141
"ENSG00000162413"	4409.70192210328	-0.27114588485877	1.14527460403985	0.252095422608689	0.436119536253173
"ENSG00000116273"	952.307403166899	-0.192619999068033	-0.227521635565779	0.820018147587733	0.897514464253318
"ENSG00000041988"	518.828443089244	-0.0785624028776852	-0.740995727264661	0.458696031005061	0.638890974781896
"ENSG00000007923"	1866.46855917503	0.589461452265858	-0.543219848489038	0.58697844213529	0.741958497329363
"ENSG00000171735"	803.579406857764	0.432074579021321	-0.90278669310711	0.366639114886436	0.55772812474754
"ENSG00000049245"	1966.28239103387	-0.239186264688252	-4.37049131423119	1.23967285946915e-05	0.000134871161952498
"ENSG00000049246"	221.717209511012	-0.338917018351358	-5.92082480535148	3.20330963588594e-09	8.04055905669483e-08
"ENSG00000049247"	2.4962335382456	-0.140528844413687	-0.404444242628156	0.685886071629256	NA
"ENSG00000049249"	92.5307077137758	-0.0769978514528564	3.18120442426496	0.00146664098651786	0.00816762042096225
"ENSG00000116288"	5675.29364459751	0.569769156298193	-0.11742513933689	0.906523163567514	0.947036582550296
"ENSG00000116285"	25249.1699923666	0.0640331176695761	-0.856160153238075	0.391909199702732	0.581078630618888
"ENSG00000162426"	168.596430687905	-1.49991777820935	-1.26957318166906	0.204236707325372	0.378443599452266
"ENSG00000142599"	516.527449672414	-0.115984404072085	-1.75428039007137	0.0793824742317783	0.195222192928657
"ENSG00000074800"	49979.127616841	0.666227938648517	-0.342373204175306	0.732070051317441	0.843255397671046
"ENSG00000131686"	1.80373751449955	-0.0364803440008217	-0.414535713478841	0.678481817692046	NA
"ENSG00000197241"	1.47695651813584	0.0464478645721793	-0.595070797187285	0.551796148083006	NA
"ENSG00000142583"	11.0053600376537	1.13325018219015	0.819468873740192	0.412518953690982	0.598371765003484
"ENSG00000180758"	255.80437812078	0.42143938125879	1.61837496033759	0.105581814907603	0.238670236201109
"ENSG00000049239"	423.446863446142	-1.50426522268084	0.031929543684861	0.97452823819275	0.986442508715429
"ENSG00000171621"	696.192728234928	-0.295435229127265	-0.330667199033773	0.740895881158635	0.848887645841654
"ENSG00000171612"	420.235894395845	0.264667256118112	0.145504432320027	0.884312616508025	0.933786830185945
"ENSG00000188807"	590.792469491848	0.960038848172801	1.32068041898142	0.186607945728748	0.355556707785108
"ENSG00000171608"	341.743301381815	0.62489417500742	1.90472075274515	0.0568163798892129	0.152548557329049
"ENSG00000171603"	3169.88803944976	-0.534728843145037	-1.3730193169211	0.169746341580401	0.333041574948136
"ENSG00000178585"	430.769621482574	-0.556751921243131	-1.55601491094409	0.119704546706959	0.260636621725899
"ENSG00000162441"	739.924964684123	0.135785450144391	0.117996547436908	0.906070393518718	0.946711512990449
"ENSG00000173614"	292.887796161751	-0.533025081888134	-0.106280784602468	0.915359576898636	0.952472599432814
"ENSG00000162444"	42.5470582355068	1.24740386645558	3.27030294916462	0.00107432361661464	0.00629206354697958
"ENSG00000130939"	1079.63648241959	0.564892727957574	-1.26637964458613	0.205377194958667	0.379925771645072
"ENSG00000054523"	1545.13011943639	0.357894201383465	-1.12909305132801	0.258858582286956	0.443881589555767
"ENSG00000142657"	3657.1936937908	-0.0360308608669793	0.663176850406465	0.507217295926739	0.680377454237202
"ENSG00000251503"	1.723135717564	0.0179862471754093	-0.159668151869787	0.873142490110978	NA
"ENSG00000175279"	87.2440757055335	0.695035012415579	-0.559751370931518	0.575649037296376	0.733435725725258
"ENSG00000241563"	5.20678554883907	0.295737592909398	0.450106193806524	0.652633870944527	NA
"ENSG00000160049"	1390.76043299971	0.220333863377495	-0.609864338526884	0.541951677427072	0.708628581935985
"ENSG00000142655"	191.4064055538	0.0569198018845914	-0.742959436666401	0.457506239072083	0.637884872015936
"ENSG00000130940"	48.6808153582717	-0.292193649683226	-0.634668540199506	0.525644615863212	0.695811717523711
"ENSG00000175262"	2.42490753494345	0.260532633203374	0.221664504808869	0.82457506376671	NA
"ENSG00000120948"	2469.95050347253	0.695888675159746	0.692414314020604	0.488677179231861	0.664943054287051
"ENSG00000277726"	8.47591703828428	0.35223114949015	0.351209713809286	0.725431023179404	NA
"ENSG00000009724"	7.86646685570417	0.157291872026932	-0.385535308001802	0.699840852363448	NA
"ENSG00000116649"	4522.33657079911	1.11810158191515	0.904851196189711	0.365544224962672	0.556874995098084
"ENSG00000171824"	2401.39924203935	0.347042357897233	-2.64347841279956	0.0082058998067182	0.0337499496510702
"ENSG00000198793"	1583.58936907715	-0.224785363152764	-2.04555936563533	0.0407997427945423	0.118671603416538
"ENSG00000171819"	2.47197704853574	0.405767033184176	0.0726272233629799	0.94210276281025	NA
"ENSG00000120942"	1016.39476649825	0.422232186838583	3.96158778430254	7.44529988457012e-05	0.000650589643846626
"ENSG00000204624"	32.4938608309172	-0.683598119877667	-0.0617982577002028	0.950723490991338	0.972523154571605
"ENSG00000116661"	176.698735110354	-1.96300142644952	1.22446578305654	0.22077656661079	0.398183693781797
"ENSG00000132879"	310.611781808794	-0.590770638229595	-0.454284787709511	0.64962386368439	0.787232167085122
"ENSG00000116663"	337.395185166943	-0.389827708586786	0.58510984193326	0.558473861566976	0.720787065927803
"ENSG00000116670"	933.931376723693	0.919156097731082	1.46326463531418	0.143394980616305	0.296846924573559
"ENSG00000162490"	4.70118144033243	0.146518359585884	0.13412166972258	0.89330636449548	NA
"ENSG00000177674"	1030.84208040235	-0.153689850496793	-0.118836658696995	0.905404765018139	0.946311819984174
