"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000273547"	0.216672954903261	-0.0149243304439951	0.184377759728733	-0.162857404330381	0.870630709411242	0.999985044235977
"ENSG00000187634"	10.0038210657635	0.148027591907804	0.534450165685128	0.280846689167631	0.778827991375701	0.999985044235977
"ENSG00000188976"	3652.09114860724	-0.0892001385598476	0.081310084998378	-1.09815814434924	0.27213543946786	0.999985044235977
"ENSG00000187961"	352.305055413382	-0.0670352718520403	0.159987730907057	-0.419450698584578	0.67488677857483	0.999985044235977
"ENSG00000187583"	131.237924073363	0.122786982907032	0.292646176289035	0.422362286025177	0.672760601293401	0.999985044235977
"ENSG00000187642"	13.9269003474378	0.579193454790678	0.514718321246659	1.26341173582909	0.206441248698065	0.999985044235977
"ENSG00000188290"	223.361254956483	-0.137612343146622	0.228128760376425	-0.602693656447488	0.546712502370789	0.999985044235977
"ENSG00000187608"	2328.17261044288	-0.007978918999021	0.239962399922506	-0.0320800265859605	0.974408231686861	0.999985044235977
"ENSG00000188157"	1316.49093543871	-0.0495612261422321	0.110535719134668	-0.446864012716599	0.654973249063122	0.999985044235977
"ENSG00000237330"	3.27799575806745	-0.747652347700904	0.513435575898272	-1.29394968716138	0.195682800171179	0.999985044235977
"ENSG00000131591"	944.078271388736	0.010442029833891	0.128488224201189	0.0799069916454252	0.936311229085037	0.999985044235977
"ENSG00000162571"	0.903277704275169	-0.111262015187679	0.282757114256363	-0.529461452946515	0.596485377825376	0.999985044235977
"ENSG00000186891"	247.459803341278	0.00370721654476544	0.20281674162516	0.0121284579415997	0.990323127906461	0.999985044235977
"ENSG00000186827"	1.50335146067097	-0.380533765226514	0.427828197723481	-1.2009948725766	0.229753190293395	0.999985044235977
"ENSG00000078808"	4644.55647419707	-0.0138559775916241	0.105310028706393	-0.131185705576654	0.895628403527731	0.999985044235977
"ENSG00000176022"	1717.25697713399	0.0479429541110219	0.0982808147886984	0.487277626295859	0.626061600897594	0.999985044235977
"ENSG00000184163"	3.85689932163334	0.0340337929741605	0.513056953729943	0.0677514984467513	0.945983453624412	0.999985044235977
"ENSG00000160087"	2852.09534457108	0.045302609737811	0.0866219167647104	0.522220715422558	0.601516664306839	0.999985044235977
"ENSG00000162572"	119.806373487382	-0.378543683310632	0.279994834870324	-1.3506591733537	0.176804636109591	0.999985044235977
"ENSG00000131584"	1218.24964181113	-0.0280162231832161	0.128880266386154	-0.214659082774459	0.830033126091955	0.999985044235977
"ENSG00000169972"	563.784913281283	-0.136359509760006	0.132388581834219	-1.03073724741998	0.302664052743135	0.999985044235977
"ENSG00000127054"	2074.14994046547	-0.0240766867346563	0.0868552128395779	-0.278561233952803	0.780581566297935	0.999985044235977
"ENSG00000224051"	2204.71037490441	-0.0463757497228151	0.10681905278021	-0.433591930287303	0.664584795796662	0.999985044235977
"ENSG00000169962"	67.2540696728199	-0.451877908459095	0.394761873787067	-1.05059974643168	0.293442457584946	0.999985044235977
"ENSG00000107404"	2159.82604960449	-0.0620530945067038	0.102239449563568	-0.606613334042694	0.544107549141378	0.999985044235977
"ENSG00000162576"	200.127695196685	0.0365782233711539	0.187811367486304	0.196684453402925	0.844074476840004	0.999985044235977
"ENSG00000175756"	4358.29303857834	-0.0728724261110817	0.094493412388065	-0.771669158659802	0.440310401746313	0.999985044235977
"ENSG00000221978"	6140.25891357871	-4.35729101777998e-06	0.110012042629626	0.000859006459712769	0.999314612092456	0.999985044235977
"ENSG00000242485"	2102.69151699633	-0.077687553335395	0.107174446613376	-0.726013480529	0.467830506525077	0.999985044235977
"ENSG00000235098"	1.64978380943325	0.0444213389652694	0.20992791041463	0.479404752185992	0.631650713400699	0.999985044235977
"ENSG00000179403"	118.927326768488	-0.247056830170185	0.247459178589063	-1.00010948430665	0.317257526769367	0.999985044235977
"ENSG00000215915"	2.43839681601044	-0.0399730353125965	0.449496127631684	-0.0756146493516953	0.939725681335151	0.999985044235977
"ENSG00000160072"	1140.26560146119	-0.0516902956492658	0.109302930144484	-0.475578878908709	0.63437442554436	0.999985044235977
"ENSG00000197785"	1796.61626774167	-0.040755640879714	0.0908127673628704	-0.450302934991861	0.652492023002065	0.999985044235977
"ENSG00000205090"	1.82469624743187	-0.0572078781613388	0.441986925540112	-0.0902540230595618	0.928085355260354	0.999985044235977
"ENSG00000160075"	6914.23094030462	0.0353022731034761	0.0773485247569631	0.456218863391963	0.6482326021137	0.999985044235977
"ENSG00000228594"	57.4513197711947	-0.017858615599501	0.524896597130863	-0.0299273266798828	0.976125012067664	0.999985044235977
"ENSG00000197530"	1618.72175684788	-0.0488360214857781	0.130357087461582	-0.372676914719309	0.709388920058276	0.999985044235977
"ENSG00000189409"	11.7857152327027	-0.087772829619366	0.524227774410205	-0.163643919662139	0.870011467845037	0.999985044235977
"ENSG00000248333"	371.896144783026	0.15065023809263	0.177270747721088	0.84734303348235	0.396803946892894	0.999985044235977
"ENSG00000189339"	1506.52815131922	0.196515570223609	0.105324142660349	1.87521307330635	0.0607634163469829	0.999985044235977
"ENSG00000008128"	16.6029760751892	-0.285998477622517	0.471907851778377	-0.605085617019473	0.545122110410288	0.999985044235977
"ENSG00000215790"	58.61490486069	0.461428275746289	0.356505978549879	1.37810516612666	0.168170820777123	0.999985044235977
"ENSG00000008130"	1581.7488640182	0.00556226975296406	0.106324328428279	0.0515028792320654	0.958924807602854	0.999985044235977
"ENSG00000078369"	11794.9064144766	-0.0526421344257934	0.0732480123128089	-0.718663658398496	0.472348180163029	0.999985044235977
"ENSG00000169885"	1.61601542909561	-0.509040802952173	0.423513386642822	-1.1132318918968	0.265608848985795	0.999985044235977
"ENSG00000178821"	136.541258022663	-0.105651293997723	0.259416178697159	-0.414335917524785	0.678628112927337	0.999985044235977
"ENSG00000142609"	9.6162170788355	-0.426133502469529	0.537223715543963	-0.784217540019732	0.432912474851304	0.999985044235977
"ENSG00000187730"	1.37659101833173	-0.221568861259939	0.359366874935779	-0.76238953847755	0.445827548183548	0.999985044235977
"ENSG00000067606"	407.815004079007	-0.0578999250894744	0.17083934581558	-0.334667674200597	0.737875788875032	0.999985044235977
"ENSG00000162585"	1009.46221395519	-0.0558467512507704	0.124094002339344	-0.449950349886835	0.652746241384735	0.999985044235977
"ENSG00000157933"	144.863019013611	0.176519662333395	0.252244014446007	0.704504297360593	0.48111877479991	0.999985044235977
"ENSG00000116151"	282.673827936029	-0.0186377330379922	0.182236665916122	-0.0998846473865894	0.920435905001438	0.999985044235977
"ENSG00000157916"	7321.83250835861	-0.017378373255722	0.0692293654043823	-0.251335555229295	0.801554688096868	0.999985044235977
"ENSG00000157911"	923.010804241903	-0.132932041319869	0.105698189141672	-1.25587399938433	0.209161656755104	0.999985044235977
"ENSG00000149527"	552.789899370752	0.243267098564798	0.343830313686899	0.772746396715733	0.439672482379689	0.999985044235977
"ENSG00000157881"	1229.89085751607	0.0580739751297687	0.111689795707005	0.522556078182614	0.601283212272135	0.999985044235977
"ENSG00000197921"	0.225623045687882	0.0489391700835852	0.184660389483032	0.105332317116916	0.916112120251028	0.999985044235977
"ENSG00000157873"	187.206366892554	-0.00856582105481432	0.257843701376708	-0.0120039342063594	0.99042247623972	0.999985044235977
"ENSG00000157870"	1632.98019316692	0.0226922928677882	0.104785626963867	0.216696017799469	0.82844525160857	0.999985044235977
"ENSG00000142606"	2.16204671810844	-0.35352936468557	0.455700466259386	-0.983463612087761	0.325379315774381	0.999985044235977
"ENSG00000215912"	8.81524932845297	0.38036411039263	0.532913485045878	0.669104000186249	0.503429138426295	0.999985044235977
"ENSG00000169717"	1.41725963092943	0.0550558688625854	0.378099474177052	0.148446417659408	0.881990469840278	0.999985044235977
"ENSG00000142611"	4.7471052915726	-0.732822596096239	0.50062402132274	-1.65889393106235	0.0971371678017314	0.999985044235977
"ENSG00000130762"	32.6691437828468	-0.0107062520591311	0.451535949174606	-0.0318910962013919	0.97455889923165	0.999985044235977
"ENSG00000162591"	408.627533977206	0.321055320545586	0.207182294323054	1.64594436773335	0.0997752132527985	0.999985044235977
"ENSG00000158109"	2132.08954564864	0.029737843573888	0.0914275470161205	0.328177346959669	0.742777574718075	0.999985044235977
"ENSG00000116213"	1898.03645875745	0.0109585018776027	0.0933268741570964	0.115835903413338	0.907782595225104	0.999985044235977
"ENSG00000078900"	37.1999543420667	-0.203599375279713	0.400987530057434	-0.509453708518592	0.610434238034472	0.999985044235977
"ENSG00000162592"	142.462616676161	0.213656244884991	0.252328228954229	0.852638863897819	0.393859603565274	0.999985044235977
"ENSG00000235169"	29.9821388041737	-0.0340405057854488	0.451073278644219	-0.0339579255195376	0.972910701906483	0.999985044235977
"ENSG00000130764"	1929.32305071192	0.0615335242692558	0.0926319514996382	0.663380206985411	0.507087079169187	0.999985044235977
"ENSG00000116198"	2656.05698030554	-0.001478355015272	0.0801798180936057	-0.0183332242798496	0.985373022773808	0.999985044235977
"ENSG00000169598"	340.869479595874	0.202733241870442	0.20103631980486	1.00627823952669	0.314281745055005	0.999985044235977
"ENSG00000198912"	1983.94044452	-0.0456344186084571	0.100997327707258	-0.452945170820979	0.650588223291283	0.999985044235977
"ENSG00000196581"	16.2125754957633	-0.774444927552142	0.53169163395561	-1.43525180780923	0.151215355220774	0.999985044235977
"ENSG00000131697"	372.579427372754	0.0589986920256889	0.172559664548659	0.344124746696121	0.730752472997979	0.999985044235977
"ENSG00000069424"	360.902479323378	0.0475568058066413	0.168824653373192	0.290576657701004	0.771375114566549	0.999985044235977
"ENSG00000116254"	5.00616858468393	0.345957158307372	0.530484910526547	0.990092212419999	0.322129049427602	0.999985044235977
"ENSG00000116251"	757.042637574518	0.0243641126028422	0.127867874621185	0.187971918918527	0.850898664228522	0.999985044235977
"ENSG00000158286"	546.815675688274	0.103845333884253	0.162683581564391	0.63878354249452	0.522963755983147	0.999985044235977
"ENSG00000116237"	7917.63132157975	0.043572930352978	0.0661973929098199	0.658201692112308	0.510408537655279	0.999985044235977
"ENSG00000158292"	5613.17238714185	-0.0226831128722253	0.108691486542513	-0.18649863084152	0.852053752453122	0.999985044235977
"ENSG00000097021"	2994.70132036851	-0.00825070976784296	0.0803657601557513	-0.103087219775121	0.917893748123246	0.999985044235977
"ENSG00000069812"	616.440481636173	0.00333849010232411	0.178152149467001	0.0718780466366434	0.94269896109714	0.999985044235977
"ENSG00000187017"	30.0404860358661	-0.594816484863119	0.429102687849654	-1.3824725982816	0.166826638445323	0.999985044235977
"ENSG00000215788"	551.675858239801	-0.0856397697797943	0.162615454462018	-0.515458090603359	0.606232948268542	0.999985044235977
"ENSG00000171680"	911.357703239349	0.0649419677727354	0.153657341463094	0.439839910580656	0.660053059330536	0.999985044235977
"ENSG00000162408"	2126.45973313639	0.011650754608209	0.095623502437508	0.120348396565921	0.904207167762253	0.999985044235977
"ENSG00000173662"	7.96043831698087	-0.621995646019953	0.536373559075583	-1.25510105195362	0.209442078650267	0.999985044235977
"ENSG00000204859"	412.798093930391	-0.146171692507275	0.14553539176694	-1.00301414611768	0.315854035942407	0.999985044235977
"ENSG00000162413"	4409.70192210328	0.0864888145305841	0.095151350338885	0.909233276607193	0.363227002419099	0.999985044235977
"ENSG00000116273"	952.307403166899	-0.0199544612518968	0.161918498846166	-0.12246823042495	0.902528205014283	0.999985044235977
"ENSG00000041988"	518.828443089244	-0.0101421105920009	0.127791295044099	-0.0785669638704215	0.937377065295318	0.999985044235977
"ENSG00000007923"	1866.46855917503	-0.0448450306222744	0.112872955695419	-0.39819281212616	0.69048806393159	0.999985044235977
"ENSG00000171735"	803.579406857764	0.0314567764397683	0.125925278885045	0.248812032734093	0.8035061829855	0.999985044235977
"ENSG00000049245"	1966.28239103387	0.0733703110133475	0.10190892580687	0.721062869836086	0.470870834379855	0.999985044235977
"ENSG00000049246"	221.717209511012	0.161508544267136	0.203662773894062	0.813560649198162	0.415896688652443	0.999985044235977
"ENSG00000049247"	2.4962335382456	0.0137803337344615	0.473495193225075	0.0704126570546216	0.943865217380938	0.999985044235977
"ENSG00000049249"	92.5307077137758	0.317030830964005	0.289366279858083	1.08868301507152	0.276293694370952	0.999985044235977
"ENSG00000116288"	5675.29364459751	-0.0421034203576296	0.0715297806329926	-0.589051198237905	0.555826929236045	0.999985044235977
"ENSG00000116285"	25249.1699923666	-0.0456686763950708	0.123994414008529	-0.368297329880057	0.712651543271031	0.999985044235977
"ENSG00000162426"	168.596430687905	-0.11135186635482	0.243042621208704	-0.416755412015561	0.676857319029206	0.999985044235977
"ENSG00000142599"	516.527449672414	-0.0140791200689055	0.145071449443901	-0.0935316411827813	0.925481213834502	0.999985044235977
"ENSG00000074800"	49979.127616841	-0.00936151364088596	0.0924390994009925	-0.101302482767129	0.919310345371912	0.999985044235977
"ENSG00000131686"	1.80373751449955	0.260850002367579	0.450007949189536	0.492688808050506	0.622232486871649	0.999985044235977
"ENSG00000197241"	1.47695651813584	0.00437603496741699	0.379458422151587	0.00705203118702095	0.994373339830322	0.999985044235977
"ENSG00000142583"	11.0053600376537	-1.36996450552503	0.534042829145061	-2.47677291975413	0.0132576221548874	0.999985044235977
"ENSG00000180758"	255.80437812078	-0.0140141933427523	0.194195663288794	-0.0774032283438866	0.938302772642798	0.999985044235977
